City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
129,Fortuna,US,84.0,40.6,-124.16,Super 8 by Wyndham Fortuna
132,Labuhan,ID,82.22,-6.88,112.21,bador sepret
133,Katherine,AU,86.0,-14.47,132.27,Pine Tree Motel
134,Portland,US,90.0,45.52,-122.68,Portland Marriott City Center
139,Butaritari,KI,83.75,3.07,172.79,Isles Sunset Lodge
142,Gat,IL,79.0,31.61,34.76,OlusHome
146,Sorong,ID,81.3,-0.88,131.25,The Waigo Hotel
147,Acapulco,MX,82.4,16.86,-99.89,HS Hotsson Smart Acapulco
150,Saint Anthony,US,77.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
152,Kramat,ID,80.58,-8.13,113.45,Padepokan HM Arum Sabil
158,Bundaberg,AU,78.01,-24.85,152.35,Takalvan Motel
159,Tiarei,PF,82.4,-17.53,-149.33,Le Rocher de Tahiti
163,Manado,ID,80.6,1.49,124.85,Aryaduta Hotel
179,Barinas,VE,75.61,8.62,-70.21,Hotel Suites Mastranto
186,Lufilufi,WS,80.01,-13.87,-171.6,Leuaina Beach Resort and Spa
189,Pundaguitan,PH,84.69,6.37,126.17,Leonardo Family Beach House 1
190,Najran,SA,75.2,17.49,44.13,محمد هادي ال فطيح
194,Porbandar,IN,81.79,21.64,69.61,Lords Inn Porbandar
195,Portales,US,90.0,34.19,-103.33,Holiday Inn Express & Suites Portales
205,Pacific Grove,US,86.0,36.62,-121.92,Lovers Point Inn
206,Cabo San Lucas,MX,86.0,22.89,-109.91,Hotel Tesoro Los Cabos
208,San Blas,MX,75.2,21.52,-105.27,Hotel Posada del Rey
209,Nikko,JP,80.6,36.75,139.62,Nikko Senhime Monogatari
210,Hamilton,US,75.0,39.18,-84.53,Six Acres Bed & Breakfast
214,Agadez,NE,88.68,19.75,10.25,
215,Turayf,SA,82.4,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
216,Marzuq,YE,77.97,14.4,46.47,
221,Ouallam,NE,78.31,14.32,2.09,
222,Black River,JM,81.0,18.03,-77.85,Idlers' Rest Beach Hotel
223,Dingle,PH,85.32,11.0,122.67,Camp Pasica
225,Russell,US,84.2,32.35,-85.2,Macs
226,Nouadhibou,MR,78.8,20.93,-17.03,El Medina
229,Hambantota,LK,75.2,6.12,81.12,Bungalow 63
233,Nizwa,OM,79.72,22.93,57.53,Orient Apartments
234,Puerto Escondido,MX,75.2,15.85,-97.07,Aldea del Bazar Hotel and Spa
241,Hirado,JP,77.0,33.36,129.55,Samson Hotel
242,Sibu,MY,75.2,2.3,111.82,RH HOTEL (4 Star)
246,Udaipura,IN,76.77,23.08,78.5,Hotel Kanha Palace
247,Ixtapa,MX,84.0,20.7,-105.2,Container Inn Puerto Vallarta
250,Victoria,HK,82.99,22.29,114.16,Mini Hotel Central
261,Honiara,SB,87.8,-9.43,159.95,Heritage Park Hotel
264,Puerto Ayacucho,VE,77.74,5.66,-67.62,Posada Turistica Manapiare
268,Shingu,JP,82.4,33.73,135.98,Shingu UI Hotel
269,Namatanai,PG,84.7,-3.67,152.43,Namatanai Hotel
270,Sam Phran,TH,84.0,13.73,100.22,Suan Sampran
274,Nouakchott,MR,86.0,18.09,-15.98,Hôtel Iman
275,Quemado De Guines,CU,78.8,22.79,-80.25,Hostal 1907
277,Bambanglipuro,ID,79.23,-7.95,110.28,Puri Brata
280,Nanchong,CN,76.55,30.8,106.08,Marine Una Century Hotel
286,Pokaran,IN,84.74,26.92,71.92,Motel Pokaran - RTDC
288,Bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
290,Mana,GF,78.33,5.66,-53.78,LE SAMANA
293,Prattville,US,84.2,32.46,-86.46,InTown Suites Extended Stay Prattville AL
294,Clarksdale,US,86.0,34.2,-90.57,Americas Best Value Inn & Suites
295,Dawei,MM,82.0,14.08,98.2,Hotel Dawei
296,Marrakesh,MA,82.4,31.63,-8.01,Les Jardins de La Koutoubia
297,Puerto Leguizamo,CO,75.83,-0.19,-74.78,la casona de juancho
298,Ammon,US,87.8,43.47,-111.97,Holiday Inn Express & Suites Idaho Falls
300,Kiunga,PG,81.81,-6.12,141.29,Airport Lodge Kiunga
302,Roebourne,AU,77.5,-20.78,117.13,Harding River Caravan Park
305,Shenjiamen,CN,78.85,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
306,Nishihara,JP,84.2,26.18,127.76,Minshuku Agaihama
307,Oussouye,SN,78.8,12.48,-16.55,Auberge du Routard
311,Pedernales,DO,82.47,18.04,-71.74,Hotel Costa Marina
